starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 88 | bound: 0 | nc: 1 | ncall: 1063 | eff(%):  8.278 | loglstar:   -inf < -510.396 <    inf | logz: -516.756 +/-  0.108 | dlogz: 510.151 >  0.010                                               
iter: 89 | bound: 0 | nc: 1 | ncall: 1064 | eff(%):  8.365 | loglstar:   -inf < -508.430 <    inf | logz: -515.589 +/-  0.113 | dlogz: 509.560 >  0.010                                               
iter: 90 | bound: 0 | nc: 1 | ncall: 1065 | eff(%):  8.451 | loglstar:   -inf < -508.249 <    inf | logz: -514.745 +/-  0.111 | dlogz: 508.393 >  0.010                                               
iter: 91 | bound: 0 | nc: 1 | ncall: 1066 | eff(%):  8.537 | loglstar:   -inf < -507.474 <    inf | logz: -514.060 +/-  0.109 | dlogz: 507.547 >  0.010                                               
iter: 92 | bound: 0 | nc: 2 | ncall: 1068 | eff(%):  8.614 | loglstar:   -inf < -505.859 <    inf | logz: -512.946 +/-  0.112 | dlogz: 506.861 >  0.010                                               
iter: 93 | bound: 0 | nc: 1 | ncall: 1069 | eff(%):  8.700 | loglstar:   -inf < -501.472 <    inf | logz: -509.106 +/-  0.124 | dlogz: 505.747 >  0.010                                               
iter: 94 | bound: 0 | nc: 1 | ncall: 1070 | eff(%):  8.785 | loglstar:   -inf < -497.678 <    inf | logz: -505.303 +/-  0.124 | dlogz: 501.906 >  0.010                                               
iter: 95 | bound: 0 | nc: 1 | ncall: 1071 | eff(%):  8.870 | loglstar:   -inf < -496.013 <    inf | logz: -503.356 +/-  0.119 | dlogz: 498.101 >  0.010                                               
iter: 96 | bound: 0 | nc: 1 | ncall: 1072 | eff(%):  8.955 | loglstar:   -inf < -495.444 <    inf | logz: -502.260 +/-  0.114 | dlogz: 496.153 >  0.010                                               
iter: 97 | bound: 0 | nc: 1 | ncall: 1073 | eff(%):  9.040 | loglstar:   -inf < -494.778 <    inf | logz: -501.448 +/-  0.111 | dlogz: 495.056 >  0.010                                               
iter: 98 | bound: 0 | nc: 1 | ncall: 1074 | eff(%):  9.125 | loglstar:   -inf < -493.649 <    inf | logz: -500.532 +/-  0.111 | dlogz: 494.243 >  0.010                                               
iter: 99 | bound: 0 | nc: 1 | ncall: 1075 | eff(%):  9.209 | loglstar:   -inf < -492.180 <    inf | logz: -499.302 +/-  0.113 | dlogz: 493.326 >  0.010                                               
